a52dec 0.8.0-2
plasma-browser-integration 6.3.3-1
plasma-desktop 6.3.3-1
plasma-disks 6.3.3-1
plasma-firewall 6.3.3-1
plasma-integration 6.3.3-1
plasma-meta 6.3-2
plasma-nm 6.3.3-1
plasma-pa 6.3.3-1
plasma-systemmonitor 6.3.3-1
plasma-thunderbolt 6.3.3-1
plasma-vault 6.3.3-1
plasma-welcome 6.3.3-1
plasma-workspace 6.3.3-1
plasma-workspace-wallpapers 6.3.3-1
plasma5support 6.3.3-1
podofo 0.10.3-1
polkit 126-2
polkit-kde-agent 6.3.3-1
polkit-qt6 0.200.0-1
poppler 25.03.0-1
poppler-data 0.4.12-2
poppler-glib 25.03.0-1
poppler-qt6 25.03.0-1
popt 1.19-2
portaudio 1:19.7.0-3
potrace 1.16-3
powerdevil 6.3.3-1
ppp 2.5.2-1
print-manager 1:6.3.3-1
prison 6.12.0-1
procps-ng 4.0.5-2
protobuf 30.0-3
psmisc 23.7-1
pugixml 1.15-2
pulse-native-provider 1:1.4.1-1
pulseaudio-qt 1.7.0-1
purpose 6.12.0-1
python 3.13.2-1
python-appdirs 1.4.4-11
python-apsw 3.49.1.0-1
python-attrs 23.2.0-4
python-beautifulsoup4 4.12.3-3
python-brotli 1.1.0-3
python-brotlicffi 1.1.0.0-3
python-cachecontrol 1:0.14.2-1
python-cairo 1.27.0-2
python-certifi 2025.01.31-1
python-cffi 1.17.1-2
python-chardet 5.2.0-6
python-charset-normalizer 3.4.1-1
python-coverage 7.6.12-1
python-cryptography 44.0.2-1
python-css-parser 1.0.10-3
python-cssselect 1.2.0-8
python-dateutil 2.9.0-6
python-dbus 1.3.2-5
python-deprecated 1.2.16-1
python-dnspython 1:2.7.0-1
python-faust-cchardet 2.1.19-3
python-feedparser 6.0.11-3
python-filelock 3.18.0-1
python-gobject 3.50.0-2
python-gpgme 1.24.2-1
python-html2text 2024.2.26-2
python-html5-parser 0.4.12-3
python-html5lib 1.1-15
python-idna 3.10-2
python-ifaddr 0.2.0-6
python-inflate64 1.0.1-1
python-jaconv 0.4.0-1
python-jeepney 0.9.0-1
python-lockfile 0.12.2-14
python-lxml 5.3.1-1
python-lxml-html-clean 0.2.0-2
python-markdown 3.7-2
